properties{
  x = 0,
  y = 0,
  width = 2496,
  height = 1680,
  min_layer = 0,
  max_layer = 2,
  tileset = "fort_crow_walls",
  music = "fort_crow",
}

tile{
  layer = 0,
  x = 1696,
  y = 32,
  width = 32,
  height = 64,
  pattern = "45",
  tileset = "fort_crow_walls",
}

tile{
  layer = 0,
  x = 1696,
  y = 144,
  width = 32,
  height = 64,
  pattern = "45",
  tileset = "fort_crow_walls",
}

tile{
  layer = 0,
  x = 1696,
  y = 80,
  width = 32,
  height = 32,
  pattern = "15",
  tileset = "fort_crow_walls",
}

tile{
  layer = 0,
  x = 1696,
  y = 128,
  width = 32,
  height = 32,
  pattern = "13",
  tileset = "fort_crow_walls",
}

tile{
  layer = 0,
  x = 1184,
  y = 1408,
  width = 128,
  height = 80,
  pattern = "193",
  tileset = "overworld_oakhaven",
}

tile{
  layer = 0,
  x = 688,
  y = 1472,
  width = 32,
  height = 32,
  pattern = "33",
}

tile{
  layer = 0,
  x = 64,
  y = 1504,
  width = 688,
  height = 128,
  pattern = "33",
}

tile{
  layer = 0,
  x = 128,
  y = 1472,
  width = 32,
  height = 32,
  pattern = "33",
}

tile{
  layer = 0,
  x = 128,
  y = 1376,
  width = 32,
  height = 32,
  pattern = "33",
}

tile{
  layer = 0,
  x = 64,
  y = 1232,
  width = 160,
  height = 144,
  pattern = "33",
}

tile{
  layer = 0,
  x = 64,
  y = 1200,
  width = 160,
  height = 32,
  pattern = "42",
  tileset = "fort_crow_walls",
}

tile{
  layer = 0,
  x = 32,
  y = 1232,
  width = 32,
  height = 160,
  pattern = "45",
  tileset = "fort_crow_walls",
}

tile{
  layer = 0,
  x = 224,
  y = 1232,
  width = 32,
  height = 160,
  pattern = "43",
  tileset = "fort_crow_walls",
}

tile{
  layer = 0,
  x = 64,
  y = 1376,
  width = 32,
  height = 32,
  pattern = "44",
  tileset = "fort_crow_walls",
}

tile{
  layer = 0,
  x = 192,
  y = 1376,
  width = 32,
  height = 32,
  pattern = "44",
  tileset = "fort_crow_walls",
}

tile{
  layer = 0,
  x = 128,
  y = 1408,
  width = 32,
  height = 32,
  pattern = "44",
  tileset = "fort_crow_walls",
}

tile{
  layer = 0,
  x = 128,
  y = 1440,
  width = 32,
  height = 32,
  pattern = "42",
  tileset = "fort_crow_walls",
}

tile{
  layer = 0,
  x = 688,
  y = 1440,
  width = 32,
  height = 32,
  pattern = "42",
  tileset = "fort_crow_walls",
}

tile{
  layer = 0,
  x = 64,
  y = 1472,
  width = 32,
  height = 32,
  pattern = "42",
  tileset = "fort_crow_walls",
}

tile{
  layer = 0,
  x = 176,
  y = 1472,
  width = 480,
  height = 32,
  pattern = "42",
  tileset = "fort_crow_walls",
}

tile{
  layer = 0,
  x = 32,
  y = 1504,
  width = 32,
  height = 128,
  pattern = "45",
  tileset = "fort_crow_walls",
}

tile{
  layer = 0,
  x = 752,
  y = 1504,
  width = 32,
  height = 128,
  pattern = "43",
  tileset = "fort_crow_walls",
}

tile{
  layer = 0,
  x = 64,
  y = 1632,
  width = 704,
  height = 32,
  pattern = "44",
  tileset = "fort_crow_walls",
}

tile{
  layer = 0,
  x = 32,
  y = 1200,
  width = 32,
  height = 32,
  pattern = "1",
  tileset = "fort_crow_walls",
}

tile{
  layer = 0,
  x = 224,
  y = 1200,
  width = 32,
  height = 32,
  pattern = "2",
  tileset = "fort_crow_walls",
}

tile{
  layer = 0,
  x = 32,
  y = 1376,
  width = 32,
  height = 32,
  pattern = "4",
  tileset = "fort_crow_walls",
}

tile{
  layer = 0,
  x = 96,
  y = 1376,
  width = 32,
  height = 32,
  pattern = "13",
  tileset = "fort_crow_walls",
}

tile{
  layer = 0,
  x = 160,
  y = 1376,
  width = 32,
  height = 32,
  pattern = "14",
  tileset = "fort_crow_walls",
}

tile{
  layer = 0,
  x = 224,
  y = 1376,
  width = 32,
  height = 32,
  pattern = "3",
  tileset = "fort_crow_walls",
}

tile{
  layer = 0,
  x = 96,
  y = 1408,
  width = 32,
  height = 32,
  pattern = "4",
  tileset = "fort_crow_walls",
}

tile{
  layer = 0,
  x = 160,
  y = 1408,
  width = 32,
  height = 32,
  pattern = "3",
  tileset = "fort_crow_walls",
}

tile{
  layer = 0,
  x = 96,
  y = 1440,
  width = 32,
  height = 32,
  pattern = "1",
  tileset = "fort_crow_walls",
}

tile{
  layer = 0,
  x = 160,
  y = 1440,
  width = 32,
  height = 32,
  pattern = "2",
  tileset = "fort_crow_walls",
}

tile{
  layer = 0,
  x = 656,
  y = 1440,
  width = 32,
  height = 32,
  pattern = "1",
  tileset = "fort_crow_walls",
}

tile{
  layer = 0,
  x = 720,
  y = 1440,
  width = 32,
  height = 32,
  pattern = "2",
  tileset = "fort_crow_walls",
}

tile{
  layer = 0,
  x = 32,
  y = 1472,
  width = 32,
  height = 32,
  pattern = "1",
  tileset = "fort_crow_walls",
}

tile{
  layer = 0,
  x = 96,
  y = 1472,
  width = 32,
  height = 32,
  pattern = "15",
  tileset = "fort_crow_walls",
}

tile{
  layer = 0,
  x = 160,
  y = 1472,
  width = 32,
  height = 32,
  pattern = "16",
  tileset = "fort_crow_walls",
}

tile{
  layer = 0,
  x = 656,
  y = 1472,
  width = 32,
  height = 32,
  pattern = "15",
  tileset = "fort_crow_walls",
}

tile{
  layer = 0,
  x = 720,
  y = 1472,
  width = 32,
  height = 32,
  pattern = "16",
  tileset = "fort_crow_walls",
}

tile{
  layer = 0,
  x = 752,
  y = 1472,
  width = 32,
  height = 32,
  pattern = "2",
  tileset = "fort_crow_walls",
}

tile{
  layer = 0,
  x = 32,
  y = 1632,
  width = 32,
  height = 32,
  pattern = "4",
  tileset = "fort_crow_walls",
}

tile{
  layer = 0,
  x = 752,
  y = 1632,
  width = 32,
  height = 32,
  pattern = "3",
  tileset = "fort_crow_walls",
}

tile{
  layer = 0,
  x = 72,
  y = 1232,
  width = 144,
  height = 8,
  pattern = "34",
  tileset = "fort_crow_walls",
}

tile{
  layer = 0,
  x = 64,
  y = 1240,
  width = 8,
  height = 128,
  pattern = "40",
  tileset = "fort_crow_walls",
}

tile{
  layer = 0,
  x = 216,
  y = 1240,
  width = 8,
  height = 128,
