properties{
  x = 0,
  y = 0,
  width = 832,
  height = 480,
  min_layer = 0,
  max_layer = 2,
  tileset = "cave_2",
  music = "new_limestone_island_slow",
}

tile{
  layer = 0,
  x = 688,
  y = 272,
  width = 96,
  height = 80,
  pattern = "ground1.1",
}

tile{
  layer = 0,
  x = 656,
  y = 320,
  width = 64,
  height = 80,
  pattern = "ground1.1",
}

tile{
  layer = 0,
  x = 480,
  y = 368,
  width = 208,
  height = 80,
  pattern = "ground1.1",
}

tile{
  layer = 0,
  x = 448,
  y = 304,
  width = 112,
  height = 96,
  pattern = "ground1.1",
}

tile{
  layer = 0,
  x = 304,
  y = 336,
  width = 144,
  height = 32,
  pattern = "ground1.1",
}

tile{
  layer = 0,
  x = 176,
  y = 320,
  width = 128,
  height = 96,
  pattern = "ground1.1",
}

tile{
  layer = 0,
  x = 64,
  y = 288,
  width = 192,
  height = 96,
  pattern = "ground1.1",
}

tile{
  layer = 0,
  x = 160,
  y = 192,
  width = 32,
  height = 96,
  pattern = "ground1.1",
}

tile{
  layer = 0,
  x = 64,
  y = 96,
  width = 176,
  height = 96,
  pattern = "ground1.1",
}

tile{
  layer = 0,
  x = 144,
  y = 32,
  width = 208,
  height = 112,
  pattern = "ground1.1",
}

tile{
  layer = 0,
  x = 352,
  y = 80,
  width = 32,
  height = 32,
  pattern = "ground1.1",
}

tile{
  layer = 0,
  x = 448,
  y = 64,
  width = 64,
  height = 48,
  pattern = "ground1.1",
}

tile{
  layer = 0,
  x = 480,
  y = 96,
  width = 32,
  height = 48,
  pattern = "ground1.1",
}

tile{
  layer = 0,
  x = 512,
  y = 96,
  width = 48,
  height = 80,
  pattern = "ground1.1",
}

tile{
  layer = 0,
  x = 560,
  y = 128,
  width = 96,
  height = 80,
  pattern = "ground1.1",
}

tile{
  layer = 0,
  x = 624,
  y = 64,
  width = 96,
  height = 96,
  pattern = "ground1.1",
}

tile{
  layer = 0,
  x = 144,
  y = 0,
  width = 224,
  height = 32,
  pattern = "191",
  tileset = "cave_2",
}

tile{
  layer = 0,
  x = 112,
  y = 32,
  width = 32,
  height = 32,
  pattern = "193",
  tileset = "cave_2",
}

tile{
  layer = 0,
  x = 352,
  y = 32,
  width = 32,
  height = 32,
  pattern = "192",
  tileset = "cave_2",
}

tile{
  layer = 0,
  x = 624,
  y = 32,
  width = 96,
  height = 32,
  pattern = "191",
  tileset = "cave_2",
}

tile{
  layer = 0,
  x = 592,
  y = 64,
  width = 32,
  height = 32,
  pattern = "193",
  tileset = "cave_2",
}

tile{
  layer = 0,
  x = 720,
  y = 64,
  width = 32,
  height = 96,
  pattern = "192",
  tileset = "cave_2",
}

tile{
  layer = 0,
  x = 448,
  y = 32,
  width = 64,
  height = 32,
  pattern = "191",
  tileset = "cave_2",
}

tile{
  layer = 0,
  x = 384,
  y = 80,
  width = 32,
  height = 32,
  pattern = "192",
  tileset = "cave_2",
}

tile{
  layer = 0,
  x = 416,
  y = 80,
  width = 32,
  height = 32,
  pattern = "193",
  tileset = "cave_2",
}

tile{
  layer = 0,
  x = 64,
  y = 64,
  width = 64,
  height = 32,
  pattern = "191",
  tileset = "cave_2",
}

tile{
  layer = 0,
  x = 32,
  y = 96,
  width = 32,
  height = 96,
  pattern = "193",
  tileset = "cave_2",
}

tile{
  layer = 0,
  x = 528,
  y = 64,
  width = 32,
  height = 32,
  pattern = "191",
  tileset = "cave_2",
}

tile{
  layer = 0,
  x = 256,
  y = 144,
  width = 96,
  height = 32,
  pattern = "194",
  tileset = "cave_2",
}

tile{
  layer = 0,
  x = 240,
  y = 160,
  width = 32,
  height = 32,
  pattern = "192",
  tileset = "cave_2",
}

tile{
  layer = 0,
  x = 688,
  y = 160,
  width = 32,
  height = 32,
  pattern = "194",
  tileset = "cave_2",
}

tile{
  layer = 0,
  x = 656,
  y = 176,
  width = 32,
  height = 32,
  pattern = "192",
  tileset = "cave_2",
}

tile{
  layer = 0,
  x = 512,
  y = 176,
  width = 32,
  height = 32,
  pattern = "194",
  tileset = "cave_2",
}

tile{
  layer = 0,
  x = 64,
  y = 192,
  width = 64,
  height = 32,
  pattern = "194",
  tileset = "cave_2",
}

tile{
  layer = 0,
  x = 208,
  y = 192,
  width = 32,
  height = 32,
  pattern = "194",
  tileset = "cave_2",
}

tile{
  layer = 0,
  x = 128,
  y = 224,
  width = 32,
  height = 32,
  pattern = "193",
  tileset = "cave_2",
}

tile{
  layer = 0,
  x = 192,
  y = 224,
  width = 32,
  height = 32,
  pattern = "192",
  tileset = "cave_2",
}

tile{
  layer = 0,
  x = 560,
  y = 208,
  width = 96,
  height = 32,
  pattern = "194",
  tileset = "cave_2",
}

tile{
  layer = 0,
  x = 688,
  y = 240,
  width = 96,
  height = 32,
  pattern = "191",
  tileset = "cave_2",
}

tile{
  layer = 0,
  x = 656,
  y = 272,
  width = 32,
  height = 32,
  pattern = "193",
  tileset = "cave_2",
}

tile{
  layer = 0,
  x = 784,
  y = 272,
  width = 32,
  height = 96,
  pattern = "192",
  tileset = "cave_2",
}

tile{
  layer = 0,
  x = 64,
  y = 256,
  width = 64,
  height = 32,
  pattern = "191",
  tileset = "cave_2",
}

tile{
  layer = 0,
  x = 224,
  y = 256,
  width = 32,
  height = 32,
  pattern = "191",
  tileset = "cave_2",
}

tile{
  layer = 0,
  x = 32,
  y = 288,
  width = 32,
  height = 96,
  pattern = "193",
  tileset = "cave_2",
}

tile{
  layer = 0,
  x = 448,
  y = 272,
  width = 128,
  height = 32,
  pattern = "191",
  tileset = "cave_2",
}

tile{
  layer = 0,
  x = 560,
  y = 304,
  width = 32,
  height = 32,
  pattern = "192",
  tileset = "cave_2",
}

tile{
  layer = 0,
  x = 272,
  y = 288,
  width = 32,
  height = 32,
  pattern = "191",
  tileset = "cave_2",
}

tile{
  layer = 0,
  x = 624,
  y = 320,
  width = 32,
  height = 32,
  pattern = "193",
  tileset = "cave_2",
}

tile{
  layer = 0,
  x = 752,
  y = 352,
  width = 32,
  height = 32,
  pattern = "194",
  tileset = "cave_2",
}

tile{
  layer = 0,
  x = 592,
  y = 336,
  width = 32,
  height = 32,
  pattern = "191",
  tileset = "cave_2",
